FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.1,1,POINT (16.369392226406138 48.202103376514366),Karlsplatz,U1,Aufzug fährt vom U1 Bahnsteig in die Karlsplatzpassage.,KP A03,KP A04,
AUFZUGOGD.2,2,POINT (16.424072365647994 48.2379798500527),Alte Donau,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Arbeiterstrandbadstraße auf den U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz),AD A02, ,
AUFZUGOGD.3,3,POINT (16.415758958425307 48.23262187991887),Kaisermühlen,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Schüttaustraße auf den U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz),KM A02, ,
AUFZUGOGD.4,4,POINT (16.416022227411663 48.232441653556336),Kaisermühlen,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Schüttaustraße auf den U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau),KM A01, ,
AUFZUGOGD.5,5,POINT (16.443653066233757 48.25074929264833),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauwärtige Aufnahmegebäude Ausgang Kagraner Platz,KT A04,KT A04,
AUFZUGOGD.6,6,POINT (16.443673028397036 48.250747777512714),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauwärtige Aufnahmegebäude Ausgang Kagraner Platz,KT A03,KT A04,
AUFZUGOGD.7,7,POINT (16.44296039464736 48.24991047668024),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Donaufelderstraße/Wagramerstraße.,KT A02,KT A01,
AUFZUGOGD.8,8,POINT (16.44298224082006 48.249907918510125),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Donaufelderstraße/Wagramerstraße.,KT A01,KT A01,
AUFZUGOGD.9,9,POINT (16.450068814335367 48.2581957059109),Rennbahnweg,U1,Aufzug fährt vom U1 Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Wagramerstraße,RB A02, ,
AUFZUGOGD.10,10,POINT (16.449251839605257 48.257049789271505),Rennbahnweg,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Rennbahnweg,RB A01, ,
AUFZUGOGD.11,11,POINT (16.451686384049662 48.26413106523472),Aderklaaer Straße,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Baldassgasse,AK A02, ,
AUFZUGOGD.12,12,POINT (16.451557561876744 48.262841548454006),Aderklaaer Straße,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Aderklaaer Straße,AK A01, ,
AUFZUGOGD.13,13,POINT (16.447557630753955 48.27172644143411),Großfeldsiedlung,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Gitlbauergasse/Kürschnergasse,GF A02, ,
AUFZUGOGD.14,14,POINT (16.44817177988955 48.27038543920952),Großfeldsiedlung,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Dopschstraße,GF A01, ,
AUFZUGOGD.15,15,POINT (16.4526605052263 48.277519225185586),Leopoldau,U1,Aufzug fährt vom Zwischengeschoss (Parkhaus) in das stadtauswärtige Aufnahmegebäude Ausgang Schererstraße,LU A04, ,
AUFZUGOGD.16,16,POINT (16.451046205860536 48.277199629093616),Leopoldau,U1,Aufzug fährt von der Passage in das Aufnahmegebäude Ausgang Schererstraße,LU A03, ,
AUFZUGOGD.17,17,POINT (16.4525658019086 48.277674776280065),Leopoldau,U1,Aufzug fährt vom Zwischengeschoss (Parkhaus) auf den U1-Mittelbahnsteig,LU A02, ,
AUFZUGOGD.18,18,POINT (16.451330645710314 48.27740476761723),Leopoldau,U1,Aufzug fährt von der Passage auf den U1-Mittelbahnsteig,LU A01, ,
AUFZUGOGD.19,19,POINT (16.39290098518365 48.21969980794623),Praterstern,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau) in das Zwischengeschoß (Übergang zur U2) und in das Aufnahmegebäude Ausgang Lassallestraße,PR A02, ,
AUFZUGOGD.20,20,POINT (16.392983976821608 48.21961965941393),Praterstern,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz) in das Zwischengeschoß (Übergang zur U2) und in das Aufnahmegebäude Ausgang Lassallestraße,PR A01, ,
AUFZUGOGD.21,21,POINT (16.400500003535516 48.22309680985474),Vorgartenstraße,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau) in das stadteinwärtige Aufnahmegebäude Ausgang Radingerstraße,VS A01, ,
AUFZUGOGD.22,22,POINT (16.400127672040252 48.223392068050074),Vorgartenstraße,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz) in das stadteinwärtige Aufnahmegebäude Ausgang Radingerstraße,VS A02, ,
AUFZUGOGD.23,23,POINT (16.371780840298616 48.20914611040118),Stephansplatz,U1,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Stephansplatz,SZ A04, ,
AUFZUGOGD.24,24,POINT (16.371604926040725 48.208035462670054),Stephansplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A03,SZ A01,
AUFZUGOGD.25,25,POINT (16.371559013472186 48.20804761135333),Stephansplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A01,SZ A01,
AUFZUGOGD.26,26,POINT (16.371580368762125 48.208042608146535),Stephansplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A02,SZ A01,
AUFZUGOGD.27,27,POINT (16.432685422314442 48.242828558249066),Kagran,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Anton-Sattler-Gasse auf den U1-Mittelbahnsteig,ZK A01, ,
AUFZUGOGD.28,28,POINT (16.424268888708337 48.23785739645308),Alte Donau,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Arbeiterstrandbadstraße auf den U1-Mittelbahnsteig (Fahrtrichtung 1 nach Leopoldau),AD A01, ,
AUFZUGOGD.29,29,POINT (16.369392226406138 48.202103376514366),Karlsplatz,U1,Aufzug fährt vom U1 Bahnsteig in die Karlsplatzpassage.,KP A04,KP A04,
AUFZUGOGD.30,30,POINT (16.36624251814007 48.2006642845427),Karlsplatz,U1,Aufzug fährt von der Passage (Ostpassage) an die Oberfläche Ausgang Secession.,KP A07, ,
AUFZUGOGD.31,31,POINT (16.373592019134193 48.18646362733149),Südtirolerplatz,U1,Aufzug fährt vom Bahnsteig ins Zwischengeschoß zum alten Südtirolerplatz und ins obere Zwischengeschoß Aufgang Favoritenstraße.,SL A01,SL A01,
AUFZUGOGD.32,32,POINT (16.373592019134193 48.18646362733149),Südtirolerplatz,U1,Aufzug fährt vom Bahnsteig ins Zwischengeschoß zum alten Südtirolerplatz und ins Zwischengeschoß zum Aufgang Favoritenstraße.,SL A02,SL A01,
AUFZUGOGD.33,33,POINT (16.37695743188179 48.2116206923756),Schwedenplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) in das Zwischengeschoß (Übergang zur U4) und in das Aufnahmegebäude Ausgang Schwedenplatz,SP A01, ,
AUFZUGOGD.34,34,POINT (16.377920490052777 48.21184861396844),Schwedenplatz,U1,Aufzug fährt vom Zwischengeschoß (Übergang zur U1) auf den U4-Mittelbahnsteig.,SP A02, ,
AUFZUGOGD.35,35,POINT (16.37785306805431 48.211827064782945),Schwedenplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichungen) in das Zwischengeschoß (Übergang zur U4),SP A03, ,
AUFZUGOGD.36,36,POINT (16.37327233508802 48.18623958627557),Südtirolerplatz,U1,Aufzug fährt von der Zwischengeschoß (Passage) an die Oberfläche Aufgang Favoritenstraße.,SL A03, ,
AUFZUGOGD.37,37,POINT (16.37039559718099 48.19373226272004),Taubstummengasse,U1,Der Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche Favoritenstraße.,TA A01, ,
AUFZUGOGD.38,38,POINT (16.376127065385518 48.179310132491736),Keplerplatz,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche.,KE A01, ,
AUFZUGOGD.39,39,POINT (16.392913564075645 48.21873398759651),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A04,PR A03,
AUFZUGOGD.40,40,POINT (16.394563827211105 48.21838354055104),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Aufnahmegebäude Ausgang Venediger Au/Ausstellungsstraße,PR A06, ,
AUFZUGOGD.41,41,POINT (16.392876069195257 48.2187419381021),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A05,PR A03,
AUFZUGOGD.42,42,POINT (16.392973845828706 48.21872475776361),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A03,PR A03,
AUFZUGOGD.43,43,POINT (16.390423306096363 48.21871266706558),Praterstern,U1,Aufzug fährt von der Passage in das stadteinwärtige Aufnahmegebäude Praterstraße,PR A07, ,
AUFZUGOGD.44,44,POINT (16.385490558992753 48.215271517832164),Nestroyplatz,U1,Aufzug fährt vom U1-Mittelbahnsteig an die Oberfläche Ausgang Praterstraße,NP A01, ,
AUFZUGOGD.45,45,POINT (16.377642044147215 48.17558019279746),Reumannplatz,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche Ausgang Favoritenstraße (Stadteinwärtige Seite),RP A01, ,
AUFZUGOGD.46,46,POINT (16.356709296503634 48.20585041164454),Volkstheater,U2,Aufzug fährt vom U2 Bahnsteig der Linie U2 Gleis 1 Richtung Karlsplatz an die Oberfläche.,VT A08, ,
AUFZUGOGD.47,47,POINT (16.357569557632917 48.2058851527888),Volkstheater,U2,Aufzug fährt vom U2 Bahnsteig der Linie U2 Gleis 2 Richtung Aspernstraße an die Oberfläche.,VT A07, ,
AUFZUGOGD.48,48,POINT (16.361070253173278 48.202529584899125),Museumsquartier,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz) in das Zwischengeschoss und in das Aufnahmegebäude Ausgang Museumsquartier,BA A01, ,
AUFZUGOGD.49,49,POINT (16.361337385008074 48.20288882311074),Museumsquartier,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße) in das Zwischengeschoss und in das Aufnahmegebäude Ausgang Museumsquartier,BA A02, ,
AUFZUGOGD.50,50,POINT (16.355640417326097 48.210416116420326),Rathaus,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße) in das Aufnahmegebäude Ausgang Friedrich-Schmidt-Platz,RH A02, ,
AUFZUGOGD.51,51,POINT (16.35518277538955 48.21022821726812),Rathaus,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz) in das Aufnahmegebäude Ausgang Josefstädter Straße,RH A01, ,
AUFZUGOGD.52,52,POINT (16.368628125018695 48.20100865339945),Karlsplatz,U2,Der Aufzug fährt von U2 Bahnsteig Endstation in das Zwischengeschoß und in die Passage,KP A06, ,
