FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.29212,29212,POINT (16.32422114880184 48.16070964866484),6,,Am Schöpfwerk,,1995,4,
UBAHNHALTOGD.29213,29213,POINT (16.379122083065628 48.20681036769588),3,,Stubentor,,1991,4,
UBAHNHALTOGD.29214,29214,POINT (16.420691102610114 48.16964339638826),3,,Simmering,,2000,12,
UBAHNHALTOGD.29215,29215,POINT (16.32775613219581 48.18363914817048),4,,Meidling Hauptstraße,,1980,10,
UBAHNHALTOGD.29216,29216,POINT (16.364002858575464 48.22776116156406),4,,Friedensbrücke,,1976,5,
UBAHNHALTOGD.29217,29217,POINT (16.365802052402298 48.248445282606866),4,,Heiligenstadt,,1976,5,
UBAHNHALTOGD.29218,29218,POINT (16.334934637307875 48.18479565925479),6,,Längenfeldgasse,,1989,10,
UBAHNHALTOGD.29219,29219,POINT (16.309828901603677 48.13050962384552),6,,Siebenhirten,,1995,4,
UBAHNHALTOGD.29220,29220,POINT (16.368628058741223 48.2352110146506),6,,Jägerstraße,,1996,5,
UBAHNHALTOGD.29221,29221,POINT (16.31652241901975 48.14191596191681),6,,Erlaaer Straße,,1995,4,
UBAHNHALTOGD.29222,29222,POINT (16.400433632706356 48.25619849480844),6,,Floridsdorf,,1996,5,
UBAHNHALTOGD.29223,29223,POINT (16.50842865976273 48.22624801900081),2,,Seestadt,,2013,10,
UBAHNHALTOGD.29224,29224,POINT (16.44965347577755 48.21981126603835),2,,Stadlau,,2010,10,
UBAHNHALTOGD.29225,29225,POINT (16.485763277417767 48.23340358839814),2,,Hausfeldstraße,,2013,10,
UBAHNHALTOGD.29226,29226,POINT (16.47486240750215 48.222517844633146),2,,Aspernstraße,,2010,10,
UBAHNHALTOGD.29227,29227,POINT (16.46660288594625 48.21941300894245),2,,Donauspital,,2010,10,
UBAHNHALTOGD.29228,29228,POINT (16.45774072152675 48.22088997518054),2,,Hardeggasse,,2010,10,
UBAHNHALTOGD.29229,29229,POINT (16.440115933684876 48.2117625546898),2,,Donaustadtbrücke,,2010,10,
UBAHNHALTOGD.29230,29230,POINT (16.504484351293478 48.23450171821282),2,,Aspern Nord,,2013,10,
UBAHNHALTOGD.29231,29231,POINT (16.43160836423993 48.206459008304066),2,,Donaumarina,,2010,10,
UBAHNHALTOGD.29232,29232,POINT (16.420246194972812 48.210665371597),2,,Stadion,,2008,5,
UBAHNHALTOGD.29233,29233,POINT (16.413743042751616 48.214680225211275),2,,Krieau,,2008,5,
UBAHNHALTOGD.29234,29234,POINT (16.40495414486208 48.21778595486946),2,,Messe Prater,,2008,5,
UBAHNHALTOGD.29235,29235,POINT (16.355386269797734 48.21065296318722),2,,Rathaus,,1980,8,
UBAHNHALTOGD.29236,29236,POINT (16.370601600024916 48.20051518216661),2,,Karlsplatz,,1980,8,
UBAHNHALTOGD.29237,29237,POINT (16.45213042852381 48.27751149593485),1,,Leopoldau,,2006,9,
UBAHNHALTOGD.29238,29238,POINT (16.44787326477164 48.27100442952963),1,,Großfeldsiedlung,,2006,9,
UBAHNHALTOGD.29239,29239,POINT (16.42489219170066 48.23833181861175),1,,Alte Donau,,1982,9,
